read query  1734ticks
run query  175ticks
read query  1733ticks
run query  175ticks
read query  450ticks
run query  181ticks
read query  426ticks
run query  178ticks
read query  450ticks
run query  181ticks
read query  412ticks
run query  179ticks
read query  449ticks
run query  177ticks
read query  414ticks
run query  183ticks
read query  412ticks
run query  178ticks
read query  460ticks
run query  178ticks
read query  450ticks
run query  175ticks
read query  423ticks
run query  183ticks
read query  478ticks
run query  370ticks
read query  476ticks
run query  206ticks
read query  467ticks
run query  185ticks


r1 497ticks
r2 476ticks
r2 452ticks
r2 447ticks
r1 492ticks
r1 458ticks
r3 36ticks
r3 31ticks
r3 33ticks
r4 36ticks
r4 36ticks
r4 35ticks
r4 30ticks
r4 486ticks

captures  101ticks
while remove by one  1067 60ticks
replace  87ticks
captures  98ticks
while remove by one  1065 46ticks
replace  85ticks
replace  10756ticks

read query  66ticks
run query  206ticks
read query  64ticks
run query  162ticks
read query  58ticks
run query  167ticks


 optional filter

read query  57ticks
run query  162ticks
read query  58ticks
run query  159ticks
read query  53ticks
run query  0ticks
read query  7ticks
run query  0ticks

read query  0,5044ms
run query  0,2434ms
read query  12991,2865ms
run query  14,1558ms
read query  6001,4374ms
run query  0,3916ms

read query  53,6464ms
run query  18,3972ms
read query  1,0654ms
run query  2,3947ms
read query  1,1682ms
run query  2,4365ms
read query  1,4558ms
run query  2,011ms

read query  35,8671ms
run query  15,7698ms
read query  1,2935ms
run query  2,2337ms
read query  1,1272ms
run query  1,9982ms
read query  1,4889ms
run query  2,337ms

read query  32,3574ms
run query  15,294ms
read query  1,0675ms
run query  1,9069ms
read query  1,0728ms
run query  1,8979ms
read query  1,0733ms
run query  1,9204ms
read query  48,5926ms
run query  18,7238ms
read query  1,3996ms
run query  2,0189ms
read query  1,1481ms
run query  2,4562ms
read query  1,4984ms
run query  2,0405ms
read query  37,3053ms
run query  16,2908ms
read query  1,0496ms
run query  1,8806ms
read query  1,1328ms
run query  2,1214ms
read query  1,3379ms
run query  1,9801ms
read query  11889,0371ms
run query  16,6289ms
read query  6402,8415ms
run query  2,0061ms
read query  1,3249ms
run query  1,978ms
read query  1,4428ms
run query  3,6882ms
read query  34,9718ms
run query  15,2049ms
read query  1,2264ms
run query  2,0023ms
read query  1,1624ms
run query  2,5827ms
read query  1,2126ms
run query  2,0084ms
read query  35,2525ms
run query  16,4184ms
read query  1,0524ms
run query  2,0092ms
read query  1,5887ms
run query  2,0135ms
read query  1,4673ms
run query  2,4352ms
read query  42,713ms
